sample_id,topic_name,topic_text
T007_S0101,7_siren_alarm turn_motion sensor_alarm change,"When The security panel triggers an alert from HomeControl Flex, do Send message to a circle using Life360. Notify my family if the security system triggers an alert.. Receive a notification if the security system triggers an alert."
T007_S0102,7_siren_alarm turn_motion sensor_alarm change,"When Activity detected in a security mode from Piper, do Blink lights using Philips Hue. Blink Hue lights when Piper detects activity in Away mode. This recipe will blink all Hue bulbs when Piper detects activity in Away mode"
T007_S0103,7_siren_alarm turn_motion sensor_alarm change,"When Access sensor opened from Scout Alarm, do Start arming a mode using Scout Alarm. The Rosie Mode #jetsons #scout #iRobot (1 of 2). Don't let your Roomba set off your motion sensors. Use this mode to clean your house and keep it secure at the same time. (Best if used in combination with this recipe: https://ifttt.com/recipes/258274-the-rosie-mode-jetsons-scout-irobot)"
T007_S0104,7_siren_alarm turn_motion sensor_alarm change,"When Activity detected in a security mode from Piper, do Turn on lights using Philips Hue. Turn on all Hue lights when Piper detects activity in Stay mode. Turn on all Hue bulbs when Piper detects activity in Stay mode"
T007_S0105,7_siren_alarm turn_motion sensor_alarm change,"When Activity detected in a security mode from Piper, do Activate scene using Lutron Caseta Wireless. Piper Vacation Activity when Armed Turns All Lights On. Create a scene that turns on all your lights and use Piper's vacation mode to trigger"
T007_S0106,7_siren_alarm turn_motion sensor_alarm change,"When You exit an area from Location, do Start arming a mode using Scout Alarm. Leave Home, Arm Scout. With your gps turned on your android device, when ever you leave your house you'll never forget to turn on your alarm again."
T007_S0107,7_siren_alarm turn_motion sensor_alarm change,"When You exit an area from Location, do Start arming a mode using Scout Alarm. Leave Home, Arm Scout. With your gps turned on your android device, when ever you leave your house you'll never forget to turn on your alarm again."
T007_S0108,7_siren_alarm turn_motion sensor_alarm change,"When Access sensor closed from Scout Alarm, do Start arming a mode using Scout Alarm. The Rosie Mode #jetsons #scout #iRobot (2 of 2). Don't let your Roomba set off your motion sensors. Use this mode to clean your house and keep it secure at the same time. (Best if used in combination with this recipe: https://ifttt.com/recipes/258272-the-rosie-mode-jetsons-scout-irobot-1-of-2)"
