sample_id,topic_name,topic_text
T017_S0001,17_switch smartthings turn_switch smartthings_heater_time toggle,"When Every day of the week at from Date & Time, do Turn off plug using Smappee. Turn off my office equipment in the evening on working days. Turn off all appliances connected to the selected plug every monday, tuesday, wednessday, thursday and friday at the selected time."
T017_S0002,17_switch smartthings turn_switch smartthings_heater_time toggle,"When Every day of the week at from Date & Time, do Switch off using SmartThings. Turn off SmartThings light at 11pm on weekdays.. Turn off SmartThings light at 11pm on weekdays."
T017_S0003,17_switch smartthings turn_switch smartthings_heater_time toggle,"When Every day at from Date & Time, do Toggle Sleep mode using EZVIZ. Turn off Sleep Mode in the morning.. Turn off Sleep Mode in the morning."
T017_S0004,17_switch smartthings turn_switch smartthings_heater_time toggle,"When Every day at from Date & Time, do Turn light on using Leeo. Turn my Leeo Smart Alert lights on at a certain time of day.. Select the time every day that you want your Leeo Smart Alert to turn off automatically."
T017_S0005,17_switch smartthings turn_switch smartthings_heater_time toggle,"When Every day at from Date & Time, do Switch off using SmartThings. Switch off. switch off a light"
T017_S0006,17_switch smartthings turn_switch smartthings_heater_time toggle,"When Every day at from Date & Time, do Switch off using SmartThings. If 730am turn off light. Turn off light at specific time"
T017_S0007,17_switch smartthings turn_switch smartthings_heater_time toggle,"When Every day of the week at from Date & Time, do Switch off using SmartThings. Start Earth Hour. Turn your things off every Saturday at 8:30 local time."
T017_S0008,17_switch smartthings turn_switch smartthings_heater_time toggle,"When Every day of the week at from Date & Time, do Switch off using SmartThings. If every day of the week at 09:00 AM on Mon Tue Wed Thu Fri, then Switch off Water heater. Just add your water heater relay You can by a zwave relay on amazon for $30."
T017_S0009,17_switch smartthings turn_switch smartthings_heater_time toggle,"When Every day of the week at from Date & Time, do Toggle on/off using WeMo Smart Plug. Trigger WEMO Switches - ON at specified times automatically. Select your desired times and WEMO switch to trigger automaticlly"
T017_S0010,17_switch smartthings turn_switch smartthings_heater_time toggle,"When Every day at from Date & Time, do Turn off using D-Link Smart Plug. Every day @ hrs turn off d-link smartplug. Every day @ hrs turn off d-link smartplug"
