sample_id,topic_name,topic_text
T037_S0001,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Start activity using Harmony. Turn off electronics, when Flic clicked. Choose which Flic you will have to press, and how to press it (single, double or hold)Then choose which Harmony activity to start or stop"
T037_S0002,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Toggle lights on/off using Philips Hue. click the flic to turn on boys lights. click once"
T037_S0003,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Set Away Mode using Heatmiser. If you click the Flic button, then enable Away on your Heatmiser. If you click the Flic button, then enable Away on your Heatmiser System"
T037_S0004,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Toggle light on/off using Emberlight. Push a button to toggle your lights ON/OFF. Add a physical light switch to your emberlight Sockets for those times when you don't have your phone."
T037_S0005,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Quick add event using Google Calendar. Flic to book a conference room. Press Flic to book an hour in a preset meeting room(Make sure to connect your meeting room calendar)"
T037_S0006,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Activate Multiple Room Scene using Hunter Douglas PowerView. Click a Flic to run Hunter Douglas shades in multiple rooms. Choose your Flic click style, then choose any Multiple Room Scene for Hunter Douglas PowerView Shades"
T037_S0007,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Log a mood using UP by Jawbone. Flic to log that you are Pumped UP!. Click Flic when you are feeling excellent and upload it to your Jawbone UP account."
T037_S0008,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Start recording using Manything. Record the next 15 minutes. Throwing a party where weird things are going on? Press Flic record video for 15 minutes from your iOS device with manythings."
T037_S0009,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Log a mood using UP by Jawbone. Flic when you are feeling exhausted. Clic Flic when you are feeling totally exhausted and log it to your Jawbone UP account."
T037_S0010,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Turn off using WeMo Lighting. Flic turn off Wemo light (SmartGP). Setup Flic to switch off Wemo light switch."
T037_S0011,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Activate shortcut using Wink: Shortcuts. Goodnight switch.. Click your flic, turn off everything for the night."
T037_S0012,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Log a meal using UP by Jawbone. Click Flic to add a glass water to UP. Everytime you click your selected Flic, log a glass of water to UP"
T037_S0013,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Send message to a circle using Life360. Family: Dinner is ready!. Press Flic and they will all come!"
T037_S0014,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Preheat oven using Home Connect Oven. Click Flic to preheat your oven. Click your Flic to preheat your oven with Home Connect to a preferred temperature."
T037_S0015,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Run a HomeSeer system event using HomeSeer. Click Flic to Trigger Homeseer Events. Gives you a physical button to control your Homeseer system"
T037_S0016,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Switch off using SmartThings. Office Light. Turning off the light"
T037_S0017,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Breathe lights using LIFX. Breathe your lights. Set the mood with the click of a flic."
T037_S0018,37_hue lights color_lights color loop_lights notify_toggle lights philips,"When Flic is clicked from Flic, do Speak to me using Musaic. Add speech to your Flic events. Create a 'Dinner is ready!' or 'It's 4 o'clock Friday!' buttonSimply enter the text you would like to be spoken (multiple languages)Note you must also add a ÃÂÃÂ¢ÃÂÃÂÃÂÃÂPerform IFTTT AppletÃÂÃÂ¢ÃÂÃÂÃÂÃÂ action to the appropriate button click via the Flic App.Run this Applet in parallel with other Flic actions or in parallel with other Flic -> IFTTT Applets to add speech to any Flic event."
